Extension, Config parameter name, Minimum charm revision
address_standardizer_data_us, `plugin-address-standardizer-data-us-enable`, 357
address_standardizer, `plugin-address-standardizer-enable`, 357
pgAudit, `plugin-audit-enable`, 552
bloom, `plugin-bloom-enable`, 347
bool_plperl, `plugin-bool-plperl-enable`, 357
btree_gin, `plugin-btree-gin-enable`, 347
btree_gist, `plugin-btree-gist-enable`, 347
citext, `plugin-citext-enable`, 304
cube, `plugin-cube-enable`, 347
debversion, `plugin-debversion-enable`, 304
dict_int, `plugin-dict-int-enable`, 347
dict_xsyn, `plugin-dict-xsyn-enable`, 347
earthdistance, `plugin-earthdistance-enable`, 347
fuzzystrmatch, `plugin-fuzzystrmatch-enable`, 347
hll, `plugin-hll-enable`, 357
hstore, `plugin-hstore-enable`, 304
hypopg, `plugin-hypopg-enable`, 357
icu_ext, `plugin-icu-ext-enable`, 357
intarray, `plugin-intarray-enable`, 347
ip4r, `plugin-ip4r-enable`, 357
isn, `plugin-isn-enable`, 347
jsonb_plperl, `plugin-jsonb-plperl-enable`, 357
lo, `plugin-lo-enable`, 347
ltree, `plugin-ltree-enable`, 347
old_snapshot, `plugin-old-snapshot-enable`, 347
orafce, `plugin-orafce-enable`, 357
pg_freespacemap, `plugin-pg-freespacemap-enable`, 347
pg_similarity, `plugin-pg-similarity-enable`, 357
pg_trgm, `plugin-pg-trgm-enable`, 304
pg_visibility, `plugin-pg-visibility-enable`, 347
pgrowlocks, `plugin-pgrowlocks-enable`, 347
pgstattuple, `plugin-pgstattuple-enable`, 347
pg_stat_statements, `plugin-pg-stat-statements-enable`, 1088
plperl, `plugin-plperl-enable`, 357
PL/Python, `plugin-plpython3u-enable`, 304
pltcl, `plugin-pltcl-enable`, 357
postgis, `plugin-postgis-enable`, 357
postgis_raster, `plugin-postgis-raster-enable`, 357
postgis_tiger_geocoder, `plugin-postgis-tiger-geocoder-enable`, 357
postgis_topology, `plugin-postgis-topology-enable`, 357
prefix, `plugin-prefix-enable`, 357
rdkit, `plugin-rdkit-enable`, 357
seg, `plugin-seg-enable`, 347
spi, `plugin-spi-enable`, 348
tablefunc, `plugin-tablefunc-enable`, 347
tcn, `plugin-tcn-enable`, 347
tds_fdw, `plugin-tds-fdw-enable`, 357
timescaledb, `plugin-timescaledb-enable`, 429
tsm_system_rows, `plugin-tsm-system-rows-enable`, 347
tsm_system_time, `plugin-tsm-system-time-enable`, 347
unaccent, `plugin-unaccent-enable`, 304
uuid_ossp, `plugin-uuid-ossp-enable`, 347
pgvector, `plugin-vector-enable`, 363